scenario,model,metric,mean,min,max,folds
original,automata,accuracy,0.8415366146458584,0.8415366146458584,0.8415366146458584,1
original,automata,precision,0.07142857142857142,0.07142857142857142,0.07142857142857142,1
original,automata,recall,0.2222222222222222,0.2222222222222222,0.2222222222222222,1
original,automata,f1,0.10810810810810811,0.10810810810810811,0.10810810810810811,1
original,lstm,accuracy,0.9552238805970149,0.9552238805970149,0.9552238805970149,1
original,lstm,precision,0.0,0.0,0.0,1
original,lstm,recall,0.0,0.0,0.0,1
original,lstm,f1,0.0,0.0,0.0,1
original,gru,accuracy,0.9552238805970149,0.9552238805970149,0.9552238805970149,1
original,gru,precision,0.0,0.0,0.0,1
original,gru,recall,0.0,0.0,0.0,1
original,gru,f1,0.0,0.0,0.0,1
original,cnn1d,accuracy,0.9552238805970149,0.9552238805970149,0.9552238805970149,1
original,cnn1d,precision,0.0,0.0,0.0,1
original,cnn1d,recall,0.0,0.0,0.0,1
original,cnn1d,f1,0.0,0.0,0.0,1
