scenario,model,metric,mean,min,max,folds
gaussian_noise,automata,accuracy,0.6554621848739496,0.6554621848739496,0.6554621848739496,1
gaussian_noise,automata,precision,0.06872852233676977,0.06872852233676977,0.06872852233676977,1
gaussian_noise,automata,recall,0.5555555555555556,0.5555555555555556,0.5555555555555556,1
gaussian_noise,automata,f1,0.12232415902140673,0.12232415902140673,0.12232415902140673,1
gaussian_noise,lstm,accuracy,0.8233830845771144,0.8233830845771144,0.8233830845771144,1
gaussian_noise,lstm,precision,0.12142857142857143,0.12142857142857143,0.12142857142857143,1
gaussian_noise,lstm,recall,0.4722222222222222,0.4722222222222222,0.4722222222222222,1
gaussian_noise,lstm,f1,0.19318181818181818,0.19318181818181818,0.19318181818181818,1
gaussian_noise,gru,accuracy,0.9365671641791045,0.9365671641791045,0.9365671641791045,1
gaussian_noise,gru,precision,0.25806451612903225,0.25806451612903225,0.25806451612903225,1
gaussian_noise,gru,recall,0.2222222222222222,0.2222222222222222,0.2222222222222222,1
gaussian_noise,gru,f1,0.23880597014925373,0.23880597014925373,0.23880597014925373,1
gaussian_noise,cnn1d,accuracy,0.7562189054726368,0.7562189054726368,0.7562189054726368,1
gaussian_noise,cnn1d,precision,0.1,0.1,0.1,1
gaussian_noise,cnn1d,recall,0.5555555555555556,0.5555555555555556,0.5555555555555556,1
gaussian_noise,cnn1d,f1,0.1694915254237288,0.1694915254237288,0.1694915254237288,1
