scenario,model,metric,mean,min,max,folds
original,automata,accuracy,0.8098676293622142,0.8098676293622142,0.8098676293622142,1
original,automata,precision,0.057971014492753624,0.057971014492753624,0.057971014492753624,1
original,automata,recall,0.2222222222222222,0.2222222222222222,0.2222222222222222,1
original,automata,f1,0.09195402298850575,0.09195402298850575,0.09195402298850575,1
original,lstm,accuracy,0.7189054726368159,0.7189054726368159,0.7189054726368159,1
original,lstm,precision,0.09051724137931035,0.09051724137931035,0.09051724137931035,1
original,lstm,recall,0.5833333333333334,0.5833333333333334,0.5833333333333334,1
original,lstm,f1,0.15671641791044777,0.15671641791044777,0.15671641791044777,1
original,gru,accuracy,0.9589552238805971,0.9589552238805971,0.9589552238805971,1
original,gru,precision,0.6153846153846154,0.6153846153846154,0.6153846153846154,1
original,gru,recall,0.2222222222222222,0.2222222222222222,0.2222222222222222,1
original,gru,f1,0.32653061224489793,0.32653061224489793,0.32653061224489793,1
original,cnn1d,accuracy,0.8482587064676617,0.8482587064676617,0.8482587064676617,1
original,cnn1d,precision,0.10909090909090909,0.10909090909090909,0.10909090909090909,1
original,cnn1d,recall,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
original,cnn1d,f1,0.1643835616438356,0.1643835616438356,0.1643835616438356,1
