scenario,model,metric,mean,min,max,folds
original,automata,accuracy,0.8098676293622142,0.8098676293622142,0.8098676293622142,1
original,automata,precision,0.057971014492753624,0.057971014492753624,0.057971014492753624,1
original,automata,recall,0.2222222222222222,0.2222222222222222,0.2222222222222222,1
original,automata,f1,0.09195402298850575,0.09195402298850575,0.09195402298850575,1
original,lstm,accuracy,0.8146766169154229,0.8146766169154229,0.8146766169154229,1
original,lstm,precision,0.1103448275862069,0.1103448275862069,0.1103448275862069,1
original,lstm,recall,0.4444444444444444,0.4444444444444444,0.4444444444444444,1
original,lstm,f1,0.17679558011049723,0.17679558011049723,0.17679558011049723,1
original,gru,accuracy,0.9353233830845771,0.9353233830845771,0.9353233830845771,1
original,gru,precision,0.23333333333333334,0.23333333333333334,0.23333333333333334,1
original,gru,recall,0.19444444444444445,0.19444444444444445,0.19444444444444445,1
original,gru,f1,0.21212121212121213,0.21212121212121213,0.21212121212121213,1
original,cnn1d,accuracy,0.75,0.75,0.75,1
original,cnn1d,precision,0.0975609756097561,0.0975609756097561,0.0975609756097561,1
original,cnn1d,recall,0.5555555555555556,0.5555555555555556,0.5555555555555556,1
original,cnn1d,f1,0.16597510373443983,0.16597510373443983,0.16597510373443983,1
gaussian_noise,automata,accuracy,0.7858002406738869,0.7858002406738869,0.7858002406738869,1
gaussian_noise,automata,precision,0.05063291139240506,0.05063291139240506,0.05063291139240506,1
gaussian_noise,automata,recall,0.2222222222222222,0.2222222222222222,0.2222222222222222,1
gaussian_noise,automata,f1,0.08247422680412371,0.08247422680412371,0.08247422680412371,1
gaussian_noise,lstm,accuracy,0.8233830845771144,0.8233830845771144,0.8233830845771144,1
gaussian_noise,lstm,precision,0.12142857142857143,0.12142857142857143,0.12142857142857143,1
gaussian_noise,lstm,recall,0.4722222222222222,0.4722222222222222,0.4722222222222222,1
gaussian_noise,lstm,f1,0.19318181818181818,0.19318181818181818,0.19318181818181818,1
gaussian_noise,gru,accuracy,0.9365671641791045,0.9365671641791045,0.9365671641791045,1
gaussian_noise,gru,precision,0.25806451612903225,0.25806451612903225,0.25806451612903225,1
gaussian_noise,gru,recall,0.2222222222222222,0.2222222222222222,0.2222222222222222,1
gaussian_noise,gru,f1,0.23880597014925373,0.23880597014925373,0.23880597014925373,1
gaussian_noise,cnn1d,accuracy,0.7562189054726368,0.7562189054726368,0.7562189054726368,1
gaussian_noise,cnn1d,precision,0.1,0.1,0.1,1
gaussian_noise,cnn1d,recall,0.5555555555555556,0.5555555555555556,0.5555555555555556,1
gaussian_noise,cnn1d,f1,0.1694915254237288,0.1694915254237288,0.1694915254237288,1
unseen,automata,accuracy,0.6377858002406739,0.6377858002406739,0.6377858002406739,1
unseen,automata,precision,0.056856187290969896,0.056856187290969896,0.056856187290969896,1
unseen,automata,recall,0.4722222222222222,0.4722222222222222,0.4722222222222222,1
unseen,automata,f1,0.10149253731343283,0.10149253731343283,0.10149253731343283,1
unseen,lstm,accuracy,0.7251243781094527,0.7251243781094527,0.7251243781094527,1
unseen,lstm,precision,0.08520179372197309,0.08520179372197309,0.08520179372197309,1
unseen,lstm,recall,0.5277777777777778,0.5277777777777778,0.5277777777777778,1
unseen,lstm,f1,0.14671814671814673,0.14671814671814673,0.14671814671814673,1
unseen,gru,accuracy,0.9029850746268657,0.9029850746268657,0.9029850746268657,1
unseen,gru,precision,0.022727272727272728,0.022727272727272728,0.022727272727272728,1
unseen,gru,recall,0.027777777777777776,0.027777777777777776,0.027777777777777776,1
unseen,gru,f1,0.025,0.025,0.025,1
unseen,cnn1d,accuracy,0.6890547263681592,0.6890547263681592,0.6890547263681592,1
unseen,cnn1d,precision,0.08527131782945736,0.08527131782945736,0.08527131782945736,1
unseen,cnn1d,recall,0.6111111111111112,0.6111111111111112,0.6111111111111112,1
unseen,cnn1d,f1,0.14965986394557823,0.14965986394557823,0.14965986394557823,1
