scenario,model,metric,mean,min,max,folds
original,automata,accuracy,0.6380469681310255,0.6247513812154696,0.6544281263907432,5
original,automata,precision,0.24305666085866612,0.05555555555555555,0.4583333333333333,5
original,automata,recall,0.020446777538781748,0.0006506180871828237,0.054760423148724334,5
original,automata,f1,0.03640670063923619,0.0012861736334405145,0.09391675560298826,5
original,lstm,accuracy,0.6492172858548046,0.6368385191914604,0.6560680698611733,5
original,lstm,precision,0.0,0.0,0.0,5
original,lstm,recall,0.0,0.0,0.0,5
original,lstm,f1,0.0,0.0,0.0,5
original,gru,accuracy,0.649662125712456,0.6368385191914604,0.6560680698611733,5
original,gru,precision,0.11162790697674418,0.0,0.5581395348837209,5
original,gru,recall,0.0059738643434972,0.0,0.029869321717486,5
original,gru,f1,0.011340815121086829,0.0,0.05670407560543414,5
original,cnn1d,accuracy,0.6492172858548046,0.6368385191914604,0.6560680698611733,5
original,cnn1d,precision,0.0,0.0,0.0,5
original,cnn1d,recall,0.0,0.0,0.0,5
original,cnn1d,f1,0.0,0.0,0.0,5
