scenario,model,metric,mean,min,max,folds
original,automata,accuracy,0.6380469681310255,0.6247513812154696,0.6544281263907432,5
original,automata,precision,0.24305666085866612,0.05555555555555555,0.4583333333333333,5
original,automata,recall,0.020446777538781748,0.0006506180871828237,0.054760423148724334,5
original,automata,f1,0.03640670063923619,0.0012861736334405145,0.09391675560298826,5
original,lstm,accuracy,0.6492172858548046,0.6368385191914604,0.6560680698611733,5
original,lstm,precision,0.0,0.0,0.0,5
original,lstm,recall,0.0,0.0,0.0,5
original,lstm,f1,0.0,0.0,0.0,5
original,gru,accuracy,0.649662125712456,0.6368385191914604,0.6560680698611733,5
original,gru,precision,0.11162790697674418,0.0,0.5581395348837209,5
original,gru,recall,0.0059738643434972,0.0,0.029869321717486,5
original,gru,f1,0.011340815121086829,0.0,0.05670407560543414,5
original,cnn1d,accuracy,0.6492172858548046,0.6368385191914604,0.6560680698611733,5
original,cnn1d,precision,0.0,0.0,0.0,5
original,cnn1d,recall,0.0,0.0,0.0,5
original,cnn1d,f1,0.0,0.0,0.0,5
gaussian_noise,automata,accuracy,0.6508189599790704,0.6392148014440433,0.6582869855394883,5
gaussian_noise,automata,precision,0.29757575757575755,0.0,0.5,5
gaussian_noise,automata,recall,0.0020509788016312516,0.0,0.006464124111182934,5
gaussian_noise,automata,f1,0.004052617841899896,0.0,0.012746972594008922,5
gaussian_noise,lstm,accuracy,0.6492172858548046,0.6368385191914604,0.6560680698611733,5
gaussian_noise,lstm,precision,0.0,0.0,0.0,5
gaussian_noise,lstm,recall,0.0,0.0,0.0,5
gaussian_noise,lstm,f1,0.0,0.0,0.0,5
gaussian_noise,gru,accuracy,0.635311687526271,0.5929715302491103,0.6557670772676372,5
gaussian_noise,gru,precision,0.14202461354376889,0.0,0.3651753325272068,5
gaussian_noise,gru,recall,0.050476188161169874,0.0,0.1879278158058494,5
gaussian_noise,gru,f1,0.07135267383668284,0.0,0.24815119145439607,5
gaussian_noise,cnn1d,accuracy,0.6492172858548046,0.6368385191914604,0.6560680698611733,5
gaussian_noise,cnn1d,precision,0.0,0.0,0.0,5
gaussian_noise,cnn1d,recall,0.0,0.0,0.0,5
gaussian_noise,cnn1d,f1,0.0,0.0,0.0,5
unseen,automata,accuracy,0.6001611363372066,0.5865193370165745,0.6165999109924344,5
unseen,automata,precision,0.34781771227343083,0.29395973154362415,0.39207650273224043,5
unseen,automata,recall,0.16755967274637515,0.14156431803490627,0.18481642812694463,5
unseen,automata,f1,0.2258730508142178,0.19109947643979058,0.24624624624624625,5
unseen,lstm,accuracy,0.6492172858548046,0.6368385191914604,0.6560680698611733,5
unseen,lstm,precision,0.0,0.0,0.0,5
unseen,lstm,recall,0.0,0.0,0.0,5
unseen,lstm,f1,0.0,0.0,0.0,5
unseen,gru,accuracy,0.6482386381679719,0.6368385191914604,0.6560680698611733,5
unseen,gru,precision,0.07608695652173914,0.0,0.3804347826086957,5
unseen,gru,recall,0.0043559427504667085,0.0,0.021779713752333542,5
unseen,gru,f1,0.00824014125956445,0.0,0.04120070629782225,5
unseen,cnn1d,accuracy,0.6492172858548046,0.6368385191914604,0.6560680698611733,5
unseen,cnn1d,precision,0.0,0.0,0.0,5
unseen,cnn1d,recall,0.0,0.0,0.0,5
unseen,cnn1d,f1,0.0,0.0,0.0,5
