scenario,model,metric,mean,min,max,folds
original,automata,accuracy,0.46829525768776986,0.3966740576496674,0.5330625141051681,5
original,automata,precision,0.29719137894480274,0.22019635343618513,0.3597852028639618,5
original,automata,recall,0.39879352514797956,0.20429407937540664,0.6888612321095209,5
original,automata,f1,0.3325393476993467,0.21194735065811676,0.4509164969450102,5
original,lstm,accuracy,0.6492172858548046,0.6368385191914604,0.6560680698611733,5
original,lstm,precision,0.0,0.0,0.0,5
original,lstm,recall,0.0,0.0,0.0,5
original,lstm,f1,0.0,0.0,0.0,5
original,gru,accuracy,0.6492172858548046,0.6368385191914604,0.6560680698611733,5
original,gru,precision,0.0,0.0,0.0,5
original,gru,recall,0.0,0.0,0.0,5
original,gru,f1,0.0,0.0,0.0,5
original,cnn1d,accuracy,0.6492172858548046,0.6368385191914604,0.6560680698611733,5
original,cnn1d,precision,0.0,0.0,0.0,5
original,cnn1d,recall,0.0,0.0,0.0,5
original,cnn1d,f1,0.0,0.0,0.0,5
